ZIP,CITY,SUBDIVISION
05592,"Santiago del Collado",ES-AV
05116,"Serranillos",ES-AV
05691,"Solana de Ávila",ES-AV
05130,"Solosanchoillajoyosa/v",ES-AV
05198,"Sotalbo",ES-AV
05420,"Sotillo de la Adrada",ES-AV
05270,"Tiemblo, el",ES-AV
05279,"Tiemblo, el",ES-AV
05143,"Valdecasa",ES-AV
05591,"Villanueva del Campillo",ES-AV
05633,"San Juan de Gredos",ES-AV
05114,"Villanueva de Ávila",ES-AV
06713,"Acedera",ES-BA
06730,"Acedera",ES-BA
06207,"Aceuchal",ES-BA
06940,"Ahillones",ES-BA
06840,"Alange",ES-BA
06170,"Albuera, laillajoyosa/v",ES-BA
06015,"Alburquerque",ES-BA
06501,"Alburquerque",ES-BA
06510,"Alburquerque",ES-BA
06519,"Alburquerque",ES-BA
06131,"Alconchel",ES-BA
06393,"Alconera",ES-BA
06894,"Aljucén",ES-BA
06171,"Almendral",ES-BA
06181,"Almendral",ES-BA
06200,"Almendralejo",ES-BA
06700,"Almendralejo",ES-BA
06850,"Arroyo de San Serván",ES-BA
06329,"Atalaya",ES-BA
06920,"Azuaga",ES-BA
06929,"Azuaga",ES-BA
06001,"Badajoz",ES-BA
06002,"Badajoz",ES-BA
06003,"Badajoz",ES-BA
06004,"Badajoz",ES-BA
06005,"Badajoz",ES-BA
06006,"Badajoz",ES-BA
06007,"Badajoz",ES-BA
06008,"Badajoz",ES-BA
06009,"Badajoz",ES-BA
06010,"Badajoz",ES-BA
06011,"Badajoz",ES-BA
06012,"Badajoz",ES-BA
06014,"Badajoz",ES-BA
06070,"Badajoz",ES-BA
06071,"Badajoz",ES-BA
06080,"Badajoz",ES-BA
06111,"Badajoz",ES-BA
